DEST_CITY_NAME,YEARLY_AVG,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
"Amsterdam, Netherlands",1543190.2,91505.2,75592.2,107990.2,132992.4,159123.4,162264.2,147283.2,164825.4,155944.4,137153.8,99926.6,108589.2
"Cancun, Mexico",3761081.8,309181.2,318929.4,394818.4,334011.8,326086.6,355326.0,372564.4,299043.0,183154.6,228564.6,278587.0,360814.8
"London, United Kingdom",2811659.0,187661.4,143290.0,207920.6,238232.0,264697.6,297033.6,258365.4,282617.6,271376.8,228461.0,201949.4,230053.6
"Mexico City, Mexico",1599692.4,128736.6,107547.8,121466.2,116774.6,123001.6,141108.4,155904.8,144418.8,114915.4,132419.4,139961.6,173437.2
"Paris, France",1425761.4,83466.2,67376.4,105123.6,118943.2,145812.0,155217.4,140572.2,148760.6,140555.4,119060.0,91660.0,109214.4
"Punta Cana, Dominican Republic",1294762.8,89834.6,99100.6,127465.8,112788.2,116602.8,146220.2,169855.6,116870.2,57878.2,66417.8,82939.6,108789.2
"San Jose del Cabo, Mexico",1223624.0,91225.4,100929.2,133882.2,111107.0,103764.6,120193.8,122687.2,93939.2,53041.6,79674.2,96496.2,116683.4
"Tokyo, Japan",2447534.8,197732.2,184500.2,225549.8,170352.6,208884.4,220942.8,208070.8,229965.6,211589.8,203541.8,188810.4,197594.4
"Toronto, Canada",1623207.2,116941.8,110637.2,137276.8,132203.2,146855.2,143214.8,148652.0,158408.4,143892.0,143263.6,125004.6,116857.6
"Vancouver, Canada",1208550.8,80604.6,76467.4,91708.4,85081.2,112560.2,129728.8,142155.0,142382.8,104048.4,85545.2,74079.8,84189.0
