,Month,Amsterdam(avg),Amsterdam(avg.Temp),Cancun(avg),Cancun(avg.Temp),London(avg),London(avg.Temp),Mexico City(avg),Mexico City(avg.Temp),Paris(avg),Paris(avg.Temp),Punta Cana(avg),Punta Cana(avg.Temp),San Jose del Cabo(avg),San Jose del Cabo(avg.Temp),Tokyo(avg),Tokyo(avg.Temp),Toronto(avg),Toronto(avg.Temp),Vancouver(avg),Vancouver(avg.Temp)
0,January,91505.2,38.1,309181.2,75.4,187661.4,44.2,128736.6,58.3,83466.2,40.8,89834.6,76.6,91225.4,66.0,197732.2,41.4,116941.8,25.3,80604.6,39.4
1,February,75592.2,38.3,318929.4,76.6,143290.0,44.2,107547.8,60.6,67376.4,42.1,99100.6,76.5,100929.2,66.6,184500.2,42.3,110637.2,27.3,76467.4,40.8
2,March,107990.2,43.0,394818.4,78.4,207920.6,47.8,121466.2,64.6,105123.6,47.8,127465.8,77.0,133882.2,68.2,225549.8,47.7,137276.8,34.5,91708.4,44.4
3,April,132992.4,48.4,334011.8,81.3,238232.0,53.6,116774.6,67.3,118943.2,52.7,112788.2,77.9,111107.0,71.4,170352.6,57.0,132203.2,46.2,85081.2,48.9
4,May,159123.4,55.2,326086.6,83.7,264697.6,58.6,123001.6,68.0,145812.0,59.4,116602.8,79.5,103764.6,75.2,208884.4,64.8,146855.2,57.4,112560.2,55.0
5,June,162264.2,69.7,355326.0,84.6,297033.6,64.9,141108.4,66.9,155217.4,64.9,146220.2,81.0,120193.8,79.7,220942.8,70.5,143214.8,66.9,129728.8,60.3
6,July,147283.2,63.7,372564.4,85.1,258365.4,67.3,155904.8,64.8,140572.2,68.9,169855.6,81.5,122687.2,83.3,208070.8,77.0,148652.0,72.1,142155.0,64.4
7,August,164825.4,63.5,299043.0,85.5,282617.6,66.9,144418.8,64.9,148760.6,68.5,116870.2,81.9,93939.2,84.0,229965.6,79.5,158408.4,70.7,142382.8,64.4
8,September,155944.4,58.5,183154.6,84.0,271376.8,63.1,114915.4,64.4,140555.4,62.4,57878.2,81.7,53041.6,82.8,211589.8,73.0,143892.0,63.0,104048.4,58.8
9,October,137153.8,51.8,228564.6,81.5,228461.0,56.3,132419.4,62.8,119060.0,55.4,66417.8,80.6,79674.2,79.2,203541.8,63.5,143263.6,51.3,85545.2,50.5
10,November,99926.6,44.8,278587.0,78.6,201949.4,50.0,139961.6,61.3,91660.0,46.9,82939.6,79.3,96496.2,73.9,188810.4,53.8,125004.6,40.8,74079.8,43.3
11,December,108589.2,39.2,360814.8,76.1,230053.6,44.6,173437.2,59.0,109214.4,41.9,108789.2,77.4,116683.4,68.4,197594.4,45.7,116857.6,31.1,84189.0,38.5
