Destination City,"Cancun, Mexico (2017)","London, United Kingdom (2017)","Tokyo, Japan (2017)","Toronto, Canada (2017)","Mexico City, Mexico (2017)","Amsterdam, Netherlands (2017)","Paris, France (2017)","Punta Cana, Dominican Republic (2017)","Vancouver, Canada (2017)","San Jose del Cabo, Mexico (2017)","Montego Bay, Jamaica (2017)"
1,374970.0,191733.0,189200.0,116636.0,137575.0,93557.0,86625.0,107271.0,77240.0,117355.0,96760.0
2,376361.0,146606.0,172326.0,105329.0,112882.0,80137.0,72357.0,115146.0,71863.0,125479.0,93629.0
3,454131.0,222280.0,221174.0,133350.0,127326.0,118879.0,106772.0,145582.0,93083.0,161758.0,110092.0
4,412359.0,263712.0,171806.0,133094.0,126674.0,153882.0,133668.0,139038.0,84449.0,139176.0,109985.0
5,395394.0,277105.0,200787.0,148327.0,138582.0,177235.0,153110.0,137780.0,120299.0,126672.0,105062.0
6,441211.0,317211.0,208610.0,147156.0,160212.0,175705.0,166311.0,175194.0,136038.0,151074.0,127922.0
7,464742.0,276798.0,198150.0,142842.0,167085.0,159835.0,148773.0,205098.0,147976.0,157068.0,147461.0
8,358087.0,304730.0,216052.0,152768.0,151459.0,177119.0,162296.0,135314.0,145976.0,110888.0,122881.0
9,213731.0,280871.0,196343.0,142233.0,114546.0,168446.0,145778.0,52596.0,107338.0,63400.0,73989.0
10,258558.0,234553.0,191664.0,152136.0,141947.0,144774.0,117493.0,72191.0,91541.0,105647.0,84090.0
11,325195.0,221948.0,185725.0,132254.0,156762.0,110022.0,95784.0,91387.0,74923.0,119757.0,101190.0
12,438478.0,261824.0,187189.0,121007.0,196246.0,118295.0,111485.0,124104.0,85603.0,145972.0,135764.0
